author,score,verdict,reach_median,likes,retweets,engagement,rel_amp,tweet
YouTube,2,Likely to fizzle,60,1239,273,1785.0,1.308,"Listen to your man, Bareezus preach. https://t.co/RhArppBJX3 #SlowJamTheNews #FallonTonight https://t.co/kbJNtM4kJm"
YouTube,19,Likely to fizzle,169,49,2,53.0,0.039,@alexalosey @MattSteffanina You nailed it! 🏃 #YouTubeRewind
Twitter,6,Likely to fizzle,89,1094,864,2822.0,2.69,Want to know how your Tweets are performing? Check out the revamped Tweet activity dashboard:  https://t.co/g6w5dsqIo0
Twitter,2,Likely to fizzle,60,1718,1551,4820.0,4.595,@justinbieber Encore! #LoveTwitter https://t.co/imvrcp7Qmr
Twitter,2,Likely to fizzle,60,1349,485,2319.0,2.211,"It's #InternationalCatDay — time for some Monday meow-tivation 😻

https://t.co/1FRj5eLq46 https://t.co/pTVaXLlsQM"
YouTube,16,Likely to fizzle,138,24,2,28.0,0.02,@Rainbowdashie86 More time for walking!
YouTube,2,Likely to fizzle,60,1594,304,2202.0,1.613,🎈 Hardcore balloon popping.🎈 https://t.co/ji6cLCyR4d https://t.co/sTFqi2fPUu
instagram,2,Likely to fizzle,60,1050,266,1582.0,1.162,Exploring Siberia’s snowy beauty with Ksenia Sazanovich #LifeOnEarthWWIM13 https://t.co/t4WxWBMxyl https://t.co/rC5J5ckp
YouTube,2,Likely to fizzle,60,1662,312,2286.0,1.675,There’s more to it than you think. 🌀🐱🌀  https://t.co/zY3uHpUrvG https://t.co/uckWZLjSsF
instagram,2,Likely to fizzle,60,2189,430,3049.0,2.239,#whoifollow with @MarthaStewart #IGThanksgiving https://t.co/9QH1kQf3Iz https://t.co/2Y4FRLzZMY
cnnbrk,2,Likely to fizzle,60,586,512,1610.0,1.168,"Chinese Olympian Chen Xinyi tests positive for banned substance, state-run news agency says. https://t.co/23r5AxXmXS htt"
YouTube,11,Likely to fizzle,134,59,6,71.0,0.052,@LamarrWilson …we’re listening.
YouTube,2,Likely to fizzle,60,1000,352,1704.0,1.248,"💧 on🌹 &amp; 5-octave ranges
Endless 🌈 &amp; 🔥 outfit changes
A 🎄 special starring a queen
These are @MariahCarey's fa"
YouTube,2,Likely to fizzle,60,1672,368,2408.0,1.764,Liquid. Gold. https://t.co/tx1sMy74K6 https://t.co/LRUIsHEjdP
Twitter,2,Likely to fizzle,60,1526,276,2078.0,1.981,"Break a leg tonight, @jimmykimmel! Your #JimmyKimmel emoji is sure to make the #Emmys best-dressed list. https://t.co/d3"
Twitter,2,Likely to fizzle,60,3812,1832,7476.0,7.127,"So many great videos, @vine! Watching these replies like 😂
https://t.co/A51TJtjmqH"
instagram,3,Likely to fizzle,67,1116,302,1720.0,1.263,"Did you celebrate #NationalFrenchFryDay yet? Don't worry, there's still time to ketchup 🍟 https://t.co/hWj2QyxIVv"
YouTube,2,Likely to fizzle,60,5013,1044,7101.0,5.202,⚠️ Caution: running men at work⚠️  @Caspar_Lee @KSIOlajidebt #YouTubeRewind https://t.co/EDdnrjD0gu https://t.co/lff14xj
instagram,2,Likely to fizzle,60,1689,422,2533.0,1.86,Pushing the bounds of homemade animation with @pinot https://t.co/L9Bt9ZPtTg https://t.co/hD0e9BsCdy
Twitter,8,Likely to fizzle,107,1265,301,1867.0,1.78,"You made our year, and you made our year, and EVERYBODY made our year!!! #PeopleWhoMadeMy2016 https://t.co/7OeqBnU2ye"
instagram,6,Likely to fizzle,87,707,148,1003.0,0.736,Discover more stories from the Spanish-speaking community. Follow @instagramES on Twitter and Instagram
